name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 1","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 1","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 1","",
"Thriving Isle",,"Land",,"jmp","36",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 1","",81819
"Wall of Runes",,"Creature - Wall",,"m21","85",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81397
"Keen Glidemaster",,"Creature - Human Soldier",,"m21","54",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81335
"Mistral Singer",,"Creature - Siren",,"m21","58",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81343
"Serendib Efreet",,"Creature - Efreet",,"jmp","175",rare,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",
"Tide Skimmer",,"Creature - Drake",,"m21","79",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81385
"Roaming Ghostlight",,"Creature - Spirit",,"m21","65",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81357
"Lofty Denial",,"Instant",,"m21","56",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81339
"Unsubstantiate",,"Instant",,"m21","82",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81391
"Frost Breath",,"Instant",U,"m21","51",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81329
"Rain of Revelation",,"Instant",U,"m21","61",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81349
"Talrand's Invocation",,"Sorcery",,"jmp","182",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",
"Capture Sphere",,"Enchantment - Aura",U,"m21","47",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81321
"Inniaz, the Gale Force",,"Legendary Creature - Djinn",,"jmp","12",rare,m,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81771
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 2","",
"Thriving Isle",,"Land",,"jmp","36",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 2","",81819
"Wall of Runes",,"Creature - Wall",,"m21","85",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81397
"Keen Glidemaster",,"Creature - Human Soldier",,"m21","54",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81335
"Warden of Evos Isle",,"Creature - Bird Wizard",,"jmp","191",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Tide Skimmer",,"Creature - Drake",,"m21","79",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81385
"Roaming Ghostlight",,"Creature - Spirit",,"m21","65",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81357
"Windreader Sphinx",,"Creature - Sphinx",,"jmp","194",rare,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Lofty Denial",,"Instant",,"m21","56",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81339
"Unsubstantiate",,"Instant",,"m21","82",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81391
"Frost Breath",,"Instant",U,"m21","51",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81329
"Rain of Revelation",,"Instant",,"m21","61",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81349
"Capture Sphere",,"Enchantment - Aura",,"m21","47",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81321
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",
"Thriving Isle",,"Land",,"jmp","36",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 3","",81819
"Wall of Runes",,"Creature - Wall",,"m21","85",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81397
"Keen Glidemaster",,"Creature - Human Soldier",,"m21","54",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81335
"Kira, Great Glass-Spinner",,"Legendary Creature - Spirit",,"jmp","154",rare,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Mistral Singer",,"Creature - Siren",,"m21","58",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81343
"Tide Skimmer",,"Creature - Drake",,"m21","79",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81385
"Roaming Ghostlight",,"Creature - Spirit",,"m21","65",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81357
"Windstorm Drake",,"Creature - Drake",,"jmp","195",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Rookie Mistake",,"Instant",,"m21","66",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81359
"Lofty Denial",,"Instant",,"m21","56",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81339
"Unsubstantiate",,"Instant",,"m21","82",uncommon,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81391
"Rain of Revelation",,"Instant",,"m21","61",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81349
"Capture Sphere",,"Enchantment - Aura",,"m21","47",common,u,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81321
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 4","",
"Thriving Isle",,"Land",,"jmp","36",common,l,Not Owned,Non-foil,false,,,"Above the Clouds 4","",81819
"Anointed Chorister",,"Creature - Human Cleric",,"m21","4",common,w,Not Owned,Non-foil,false,,,"Angels 1","",81235
"Angelic Page",,"Creature - Angel Spirit",,"jmp","88",common,w,Not Owned,Non-foil,false,,,"Angels 1","",
"Celestial Enforcer",,"Creature - Human Cleric",,"m21","11",common,w,Not Owned,Non-foil,false,,,"Angels 1","",81249
"Emancipation Angel",,"Creature - Angel",,"jmp","102",uncommon,w,Not Owned,Non-foil,false,,,"Angels 1","",
"Baneslayer Angel",,"Creature - Angel",,"m21","6",mythic,w,Not Owned,Non-foil,false,,,"Angels 1","",81239
"Serra Angel",,"Creature - Angel",,"jmp","132",uncommon,w,Not Owned,Non-foil,false,,,"Angels 1","",
"Voice of the Provinces",,"Creature - Angel",,"jmp","137",common,w,Not Owned,Non-foil,false,,,"Angels 1","",
"Angelic Ascension",,"Instant",,"m21","3",uncommon,w,Not Owned,Non-foil,false,,,"Angels 1","",81233
"Feat of Resistance",,"Instant",,"m21","19",common,w,Not Owned,Non-foil,false,,,"Angels 1","",81265
"Angelic Edict",,"Sorcery",,"jmp","87",common,w,Not Owned,Non-foil,false,,,"Angels 1","",
"Scroll of Avacyn",,"Artifact",,"jmp","483",common,c,Not Owned,Non-foil,false,,,"Angels 1","",
"Guardian Idol",,"Artifact",,"jmp","467",uncommon,c,Not Owned,Non-foil,false,,,"Angels 1","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 1","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 1","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 1","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 1","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 1","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 1","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 1","",
"Thriving Heath",,"Land",,"jmp","35",common,l,Not Owned,Non-foil,false,,,"Angels 1","",81817
"Anointed Chorister",,"Creature - Human Cleric",,"m21","4",common,w,Not Owned,Non-foil,false,,,"Angels 2","",81235
"Angelic Page",,"Creature - Angel Spirit",,"jmp","88",common,w,Not Owned,Non-foil,false,,,"Angels 2","",
"Celestial Enforcer",,"Creature - Human Cleric",,"m21","11",common,w,Not Owned,Non-foil,false,,,"Angels 2","",81249
"Emancipation Angel",,"Creature - Angel",,"jmp","102",uncommon,w,Not Owned,Non-foil,false,,,"Angels 2","",
"Linvala, Keeper of Silence",,"Legendary Creature - Angel",,"jmp","119",mythic,w,Not Owned,Non-foil,false,,,"Angels 2","",
"Serra Angel",,"Creature - Angel",,"jmp","132",uncommon,w,Not Owned,Non-foil,false,,,"Angels 2","",
"Angelic Arbiter",,"Creature - Angel",,"jmp","86",rare,w,Not Owned,Non-foil,false,,,"Angels 2","",
"Take Heart",,"Instant",,"jmp","134",common,w,Not Owned,Non-foil,false,,,"Angels 2","",
"Angelic Ascension",,"Instant",,"m21","3",uncommon,w,Not Owned,Non-foil,false,,,"Angels 2","",81233
"Angelic Edict",,"Sorcery",,"jmp","87",common,w,Not Owned,Non-foil,false,,,"Angels 2","",
"Scroll of Avacyn",,"Artifact",,"jmp","483",common,c,Not Owned,Non-foil,false,,,"Angels 2","",
"Guardian Idol",,"Artifact",,"jmp","467",uncommon,c,Not Owned,Non-foil,false,,,"Angels 2","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 2","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 2","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 2","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 2","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 2","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 2","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Angels 2","",
"Thriving Heath",,"Land",,"jmp","35",common,l,Not Owned,Non-foil,false,,,"Angels 2","",81817
"Haunting Figment",,"Creature - Illusion",,"dmu","53",common,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102582
"Academy Wall",,"Creature - Wall",,"dmu","41",common,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102558
"Soaring Drake",,"Creature - Drake",,"dmu","66",common,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102608
"Talas Lookout",,"Creature - Human Pirate",,"dmu","68",common,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102612
"Frostfist Strider",,"Creature - Elemental Giant",,"dmu","51",uncommon,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102578
"Djinn of the Fountain",,"Creature - Djinn",,"dmu","47",uncommon,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102570
"Shore Up",,"Instant",,"dmu","64",common,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102604
"Impulse",,"Instant",,"dmu","55",common,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102586
"Impede Momentum",,"Sorcery",,"dmu","54",common,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102584
"Cosmic Epiphany",,"Sorcery",,"dmu","283",rare,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102382
"Combat Research",,"Enchantment - Aura",,"dmu","44",uncommon,u,Not Owned,Non-foil,false,,,"Arcane Mischief","",102564
"Island",,"Basic Land - Island",,"dmu","266",common,l,Not Owned,Non-foil,false,,,"Arcane Mischief","",102408
"Island",,"Basic Land - Island",,"dmu","266",common,l,Not Owned,Non-foil,false,,,"Arcane Mischief","",102408
"Island",,"Basic Land - Island",,"dmu","266",common,l,Not Owned,Non-foil,false,,,"Arcane Mischief","",102408
"Island",,"Basic Land - Island",,"dmu","266",common,l,Not Owned,Non-foil,false,,,"Arcane Mischief","",102408
"Island",,"Basic Land - Island",,"dmu","266",common,l,Not Owned,Non-foil,false,,,"Arcane Mischief","",102408
"Island",,"Basic Land - Island",,"dmu","266",common,l,Not Owned,Non-foil,false,,,"Arcane Mischief","",102408
"Island",,"Basic Land - Island",,"dmu","266",common,l,Not Owned,Non-foil,false,,,"Arcane Mischief","",102408
"Island",,"Basic Land - Island",,"dmu","266",common,l,Not Owned,Non-foil,false,,,"Arcane Mischief","",102408
"Lightning-Core Excavator",,"Artifact Creature - Golem",,"jmp","32",common,c,Not Owned,Non-foil,false,,,"Archaeology 1","",81811
"Erratic Visionary",,"Creature - Human Wizard",,"jmp","150",common,u,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Archaeomender",,"Creature - Human Wizard",,"jmp","9",common,u,Not Owned,Non-foil,false,,,"Archaeology 1","",81765
"Archaeomender",,"Creature - Human Wizard",,"jmp","9",common,u,Not Owned,Non-foil,false,,,"Archaeology 1","",81765
"Ancestral Statue",,"Artifact Creature - Golem",,"jmp","458",common,c,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Juggernaut",,"Artifact Creature - Juggernaut",,"jmp","471",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Meteor Golem",,"Artifact Creature - Golem",,"jmp","474",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Scholar of the Lost Trove",,"Creature - Sphinx",U,"jmp","14",rare,u,Not Owned,Non-foil,false,,,"Archaeology 1","",81775
"Thirst for Knowledge",,"Instant",,"jmp","183",uncommon,u,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Aether Spellbomb",,"Artifact",,"jmp","456",common,u,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Chromatic Sphere",,"Artifact",,"jmp","462",common,c,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Hedron Archive",,"Artifact",,"jmp","468",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Buried Ruin",,"Land",,"jmp","491",uncommon,l,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 1","",
"Thriving Isle",,"Land",,"jmp","36",common,l,Not Owned,Non-foil,false,,,"Archaeology 1","",81819
"Lightning-Core Excavator",,"Artifact Creature - Golem",,"jmp","32",common,c,Not Owned,Non-foil,false,,,"Archaeology 2","",81811
"Erratic Visionary",,"Creature - Human Wizard",,"jmp","150",common,u,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Archaeomender",,"Creature - Human Wizard",,"jmp","9",common,u,Not Owned,Non-foil,false,,,"Archaeology 2","",81765
"Archaeomender",,"Creature - Human Wizard",,"jmp","9",common,u,Not Owned,Non-foil,false,,,"Archaeology 2","",81765
"Ancestral Statue",,"Artifact Creature - Golem",,"jmp","458",common,c,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Juggernaut",,"Artifact Creature - Juggernaut",,"jmp","471",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Meteor Golem",,"Artifact Creature - Golem",,"jmp","474",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Scholar of the Lost Trove",,"Creature - Sphinx",U,"jmp","14",rare,u,Not Owned,Non-foil,false,,,"Archaeology 2","",81775
"Thirst for Knowledge",,"Instant",,"jmp","183",uncommon,u,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Aether Spellbomb",,"Artifact",,"jmp","456",common,u,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Terrarion",,"Artifact",,"jmp","488",common,c,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Dreamstone Hedron",,"Artifact",,"jmp","464",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Buried Ruin",,"Land",,"jmp","491",uncommon,l,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 2","",
"Thriving Isle",,"Land",,"jmp","36",common,l,Not Owned,Non-foil,false,,,"Archaeology 2","",81819
"Lightning-Core Excavator",,"Artifact Creature - Golem",,"jmp","32",common,c,Not Owned,Non-foil,false,,,"Archaeology 3","",81811
"Prismite",,"Artifact Creature - Golem",,"m21","235",common,c,Not Owned,Non-foil,false,,,"Archaeology 3","",81697
"Archaeomender",,"Creature - Human Wizard",,"jmp","9",common,u,Not Owned,Non-foil,false,,,"Archaeology 3","",81765
"Archaeomender",,"Creature - Human Wizard",,"jmp","9",common,u,Not Owned,Non-foil,false,,,"Archaeology 3","",81765
"Ancestral Statue",,"Artifact Creature - Golem",,"jmp","458",common,c,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Juggernaut",,"Artifact Creature - Juggernaut",,"jmp","471",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Vedalken Archmage",,"Creature - Vedalken Wizard",,"jmp","187",rare,u,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Sharding Sphinx",,"Artifact Creature - Sphinx",,"jmp","176",rare,u,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Meteor Golem",,"Artifact Creature - Golem",,"jmp","474",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Thirst for Knowledge",,"Instant",,"jmp","183",uncommon,u,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Aether Spellbomb",,"Artifact",,"jmp","456",common,u,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Hedron Archive",,"Artifact",,"jmp","468",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Buried Ruin",,"Land",,"jmp","491",uncommon,l,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 3","",
"Thriving Isle",,"Land",,"jmp","36",common,l,Not Owned,Non-foil,false,,,"Archaeology 3","",81819
"Lightning-Core Excavator",,"Artifact Creature - Golem",,"jmp","32",common,c,Not Owned,Non-foil,false,,,"Archaeology 4","",81811
"Jousting Dummy",,"Artifact Creature - Scarecrow Knight",,"jmp","470",common,c,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Archaeomender",,"Creature - Human Wizard",,"jmp","9",common,u,Not Owned,Non-foil,false,,,"Archaeology 4","",81765
"Archaeomender",,"Creature - Human Wizard",,"jmp","9",common,u,Not Owned,Non-foil,false,,,"Archaeology 4","",81765
"Scarecrone",,"Artifact Creature - Scarecrow",,"jmp","482",rare,c,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Scuttlemutt",,"Artifact Creature - Scarecrow",,"jmp","484",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Juggernaut",,"Artifact Creature - Juggernaut",,"jmp","471",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Signpost Scarecrow",,"Artifact Creature - Scarecrow",,"jmp","485",common,c,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Meteor Golem",,"Artifact Creature - Golem",,"jmp","474",uncommon,c,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Thirst for Knowledge",,"Instant",,"jmp","183",uncommon,u,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Aether Spellbomb",,"Artifact",,"jmp","456",common,u,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Short Sword",,"Artifact - Equipment",,"m21","236",common,c,Not Owned,Non-foil,false,,,"Archaeology 4","",81699
"Buried Ruin",,"Land",,"jmp","491",uncommon,l,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Island",,"Basic Land - Island",,"jmp","49",common,l,Not Owned,Non-foil,false,,,"Archaeology 4","",
"Thriving Isle",,"Land",,"jmp","36",common,l,Not Owned,Non-foil,false,,,"Archaeology 4","",81819
"Staunch Shieldmate",,"Creature - Dwarf Soldier",,"m21","39",common,w,Not Owned,Non-foil,false,,,"Basri","",81305
"Concordia Pegasus",,"Creature - Pegasus",,"m21","12",common,w,Not Owned,Non-foil,false,,,"Basri","",81251
"Tempered Veteran",,"Creature - Human Knight",,"m21","41",uncommon,w,Not Owned,Non-foil,false,,,"Basri","",81309
"Siege Striker",,"Creature - Human Soldier",,"m21","37",uncommon,w,Not Owned,Non-foil,false,,,"Basri","",81301
"Basri's Acolyte",,"Creature - Cat Cleric",,"m21","8",common,w,Not Owned,Non-foil,false,,,"Basri","",81243
"Basri's Lieutenant",,"Creature - Human Knight",,"m21","9",rare,w,Not Owned,Non-foil,false,,,"Basri","",81245
"Knight of the Tusk",,"Creature - Human Knight",,"jmp","114",common,w,Not Owned,Non-foil,false,,,"Basri","",
"Basri Ket",,"Legendary Planeswalker - Basri",,"m21","7",mythic,w,Not Owned,Non-foil,false,,,"Basri","",81241
"Feat of Resistance",,"Instant",,"m21","19",common,w,Not Owned,Non-foil,false,,,"Basri","",81265
"Basri's Solidarity",,"Sorcery",,"m21","10",uncommon,w,Not Owned,Non-foil,false,,,"Basri","",81247
"Legion's Judgment",,"Sorcery",,"m21","24",common,w,Not Owned,Non-foil,false,,,"Basri","",81275
"Faith's Fetters",,"Enchantment - Aura",,"m21","17",uncommon,w,Not Owned,Non-foil,false,,,"Basri","",81261
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Basri","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Basri","",
"Plains",,"Basic Land - Plains",,"jmp","44",common,l,Not Owned,Non-foil,false,,,"Basri","",
